ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,ob_j,ob_j_error,ob_h,ob_h_error,ob_k,ob_k_error,diff_j,diff_h,diff_k
1.0176034797527547e+17,34.7975771049785,3.69703887548217e-07,-5.19580676728118,3.6849986192052547e-07,20.1802005767822,0.0095459995791316,19.0144996643066,0.00471699982881546,18.2586002349854,0.00325899990275502,17.9582004547119,0.00424699997529387,17.7273006439209,0.00809399969875813,3800.0,4.0,-2.7,-34.763735,-35.934821,-36.667601,-36.99484,-37.167036,-37.422836,-37.634895,-37.323497,54.90013793444573,4.150942312592517e-05,0.008620299610849976,16.581301934445733,0.0005017200735552117,15.88424293444573,0.0005017200735552117,15.732640934445728,0.0005017200735552117,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.658083,0.001108636,16.065916,0.00090608955,15.87043,0.00081688294,0.07678032,0.18167305,0.13778877
1.0176034797527547e+17,34.7975771049785,3.69703887548217e-07,-5.19580676728118,3.6849986192052547e-07,20.1604995727539,0.00942500028759241,19.0195007324219,0.00473899999633431,18.2563991546631,0.00345099996775389,17.9036998748779,0.00393499992787838,17.7080993652344,0.00820900034159422,3800.0,3.25,-2.7,-34.726549,-35.861832,-36.636623,-36.967735,-37.144646,-37.427805,-37.714715,-37.378543,54.8438816936296,4.1214012640901565e-05,0.0032325102463441942,16.520076693629598,0.0005016957193737698,15.7481666936296,0.0005016957193737698,15.621338693629598,0.0005016957193737698,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.658083,0.001108636,16.065916,0.00090608955,15.87043,0.00081688294,0.13800621,0.31774902,0.24909115
1.0176034797527547e+17,34.7975771049785,3.69703887548217e-07,-5.19580676728118,3.6849986192052547e-07,20.1700000762939,0.0102249998599291,18.9899997711182,0.00474700005725026,18.2801990509033,0.00340100005269051,17.9682006835938,0.00417400011792779,17.7353992462158,0.00810800027102232,3700.0,5.0,-2.0,-34.649567,-35.843142,-36.516008,-36.849203,-37.02512,-37.323062,-37.68863,-37.339193,54.772127748529826,4.4362675683368834e-05,0.009912522375851452,16.553065748529825,0.0005019641889555347,15.702497748529822,0.0005019641889555347,15.588934748529825,0.0005019641889555347,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.658083,0.001108636,16.065916,0.00090608955,15.87043,0.00081688294,0.10501671,0.36341858,0.2814951
1.0176034797527547e+17,34.7975771049785,3.69703887548217e-07,-5.19580676728118,3.6849986192052547e-07,20.1338996887207,0.00987599976360798,18.9974002838135,0.00536599988117814,18.2740001678467,0.00325300008989871,17.9207000732422,0.00389100005850196,17.7098007202148,0.00834899954497814,3800.0,5.5,-2.5,-34.597709,-35.733828,-36.47435,-36.815652,-36.978641,-37.305315,-37.729484,-37.368221,54.69394573394864,4.435140209955543e-05,0.00945991253665189,16.492630733948637,0.0005019631927424524,15.583461733948639,0.0005019631927424524,15.48172473394864,0.0005019631927424524,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.658083,0.001108636,16.065916,0.00090608955,15.87043,0.00081688294,0.16545296,0.4824543,0.38870525
1.0176034797527547e+17,34.7975771049785,3.69703887548217e-07,-5.19580676728118,3.6849986192052547e-07,20.1802005767822,0.0095459995791316,19.0144996643066,0.00471699982881546,18.2586002349854,0.00325899990275502,17.9582004547119,0.00424699997529387,17.7273006439209,0.00809399969875813,3800.0,4.0,-2.7,-34.763735,-35.934821,-36.667601,-36.99484,-37.167036,-37.422836,-37.634895,-37.323497,54.90013793444573,4.150942312592517e-05,0.008620299610849976,16.581301934445733,0.0005017200735552117,15.88424293444573,0.0005017200735552117,15.732640934445728,0.0005017200735552117,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.658083,0.001108636,16.065916,0.00090608955,15.87043,0.00081688294,0.07678032,0.18167305,0.13778877
1.0176034797527547e+17,34.7975771049785,3.69703887548217e-07,-5.19580676728118,3.6849986192052547e-07,20.1604995727539,0.00942500028759241,19.0195007324219,0.00473899999633431,18.2563991546631,0.00345099996775389,17.9036998748779,0.00393499992787838,17.7080993652344,0.00820900034159422,3800.0,3.25,-2.7,-34.726549,-35.861832,-36.636623,-36.967735,-37.144646,-37.427805,-37.714715,-37.378543,54.8438816936296,4.1214012640901565e-05,0.0032325102463441942,16.520076693629598,0.0005016957193737698,15.7481666936296,0.0005016957193737698,15.621338693629598,0.0005016957193737698,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.658083,0.001108636,16.065916,0.00090608955,15.87043,0.00081688294,0.13800621,0.31774902,0.24909115
1.0176034797527547e+17,34.7975771049785,3.69703887548217e-07,-5.19580676728118,3.6849986192052547e-07,20.1700000762939,0.0102249998599291,18.9899997711182,0.00474700005725026,18.2801990509033,0.00340100005269051,17.9682006835938,0.00417400011792779,17.7353992462158,0.00810800027102232,3700.0,5.0,-2.0,-34.649567,-35.843142,-36.516008,-36.849203,-37.02512,-37.323062,-37.68863,-37.339193,54.772127748529826,4.4362675683368834e-05,0.009912522375851452,16.553065748529825,0.0005019641889555347,15.702497748529822,0.0005019641889555347,15.588934748529825,0.0005019641889555347,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.658083,0.001108636,16.065916,0.00090608955,15.87043,0.00081688294,0.10501671,0.36341858,0.2814951
1.0176034797527547e+17,34.7975771049785,3.69703887548217e-07,-5.19580676728118,3.6849986192052547e-07,20.1338996887207,0.00987599976360798,18.9974002838135,0.00536599988117814,18.2740001678467,0.00325300008989871,17.9207000732422,0.00389100005850196,17.7098007202148,0.00834899954497814,3800.0,5.5,-2.5,-34.597709,-35.733828,-36.47435,-36.815652,-36.978641,-37.305315,-37.729484,-37.368221,54.69394573394864,4.435140209955543e-05,0.00945991253665189,16.492630733948637,0.0005019631927424524,15.583461733948639,0.0005019631927424524,15.48172473394864,0.0005019631927424524,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.658083,0.001108636,16.065916,0.00090608955,15.87043,0.00081688294,0.16545296,0.4824543,0.38870525
1.0176034851284382e+17,34.8512752209391,4.967814724748757e-06,-5.19716777337517,4.967814724748757e-06,21.9416007995605,0.04364899918437,22.0590991973877,0.0741290003061295,21.8847007751465,0.0685319975018501,21.6345996856689,0.0982989966869354,21.1315002441406,0.156139001250267,5200.0,5.5,-3.5,-38.253731,-38.438963,-38.629858,-38.684706,-38.736706,-38.80518,-38.859251,-38.364575,60.24510970453034,0.009227811791773177,1.3681337711192219,20.543929704530342,0.009241347870542918,20.004858704530342,0.009241347870542918,20.03653470453034,0.009241347870542918,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.479492,0.009210588,19.676096,0.009549154,18.795328,0.00522789,-0.064437866,-0.32876205,-1.2412071
1.0176034851284382e+17,34.8512752209391,4.967814724748757e-06,-5.19716777337517,4.967814724748757e-06,21.9416007995605,0.04364899918437,22.0590991973877,0.0741290003061295,21.8847007751465,0.0685319975018501,21.6345996856689,0.0982989966869354,21.1315002441406,0.156139001250267,5200.0,5.5,-3.5,-38.253731,-38.438963,-38.629858,-38.684706,-38.736706,-38.80518,-38.859251,-38.364575,60.24510970453034,0.009227811791773177,1.3681337711192219,20.543929704530342,0.009241347870542918,20.004858704530342,0.009241347870542918,20.03653470453034,0.009241347870542918,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.479492,0.009210588,19.676096,0.009549154,18.795328,0.00522789,-0.064437866,-0.32876205,-1.2412071
