source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe
2035201215673733376,298.10481226604094,0.011781825,34.05060120422779,0.014515169,0.8694691773834091,0.016022185,54.26658,3.8709176,1.3371398414019182,0.016493492,3.6326380164696257,0.018552981,1.0579597
2035201215673739648,298.1023731987738,0.042545896,34.05513446733079,0.05350019,0.5219961262687953,0.05977107,8.733257,2.882444,0.9282224662632181,0.059897974,-2.7288983453557716,0.06857607,0.951493
2035201215673743744,298.1099996251883,0.2339229,34.05728587220028,0.31596208,0.10089795695100437,0.33708602,0.29932404,6.3229513,-0.5572855027467323,0.3357663,-6.298344655031391,0.40170068,0.96715754
2035201215673745920,298.1044723468302,0.014703746,34.05893002194842,0.01858419,0.22357950103661378,0.020455556,10.930014,4.978502,-3.2910317341039894,0.021022808,-3.7355844481597726,0.024018357,0.99726194
2035201215673749632,298.0945185284108,0.022185508,34.06055700140086,0.027075687,0.4792511624755787,0.030688489,15.616643,5.020185,-0.8303347002649661,0.030804493,-4.9510405616968205,0.034479123,1.0765253
2035201215673754240,298.1037358027808,0.23533806,34.06262624944903,0.31962773,0.49278917277593154,0.35145897,1.4021243,4.374884,-3.2462065411159178,0.32536748,-2.9328750835768806,0.4024402,1.3583117
2035201245694148864,298.0589062160352,0.17897214,34.031937788159695,0.22803609,0.4185227283033362,0.25718075,1.6273485,5.5782876,-3.09844813584246,0.25393632,-4.638632506861319,0.2949136,0.9824039
2035201245695604352,298.06423392441116,0.06224572,34.03142531669435,0.07525489,0.21425981447916098,0.08605501,2.4898005,6.0622563,-2.3868527225160556,0.088562265,-5.57260132513486,0.1010056,1.0061686
2035201245695614336,298.05732555545984,0.08516947,34.03577250344787,0.10151133,0.1308781592367102,0.11599001,1.1283572,4.0345497,-1.2480452564357103,0.11719697,-3.8366618845891223,0.1336119,0.9626944
2035201245695615488,298.06010079141305,0.082427375,34.03612981649665,0.09801097,0.12965331838404837,0.11689582,1.1091356,5.953929,-2.753102599645465,0.11735642,-5.279175536904467,0.1386621,1.024633
2035201245695617408,298.0532325216322,0.10818504,34.03577727835483,0.1331095,0.346375244220291,0.14618528,2.3694265,4.3391447,-1.5217701867226259,0.15348563,-4.063544545329068,0.17735045,1.0549209
2035201245695624704,298.06541508026055,0.0736695,34.03983795962508,0.087079644,0.1637678184914648,0.10105708,1.6205477,4.222319,-1.9900270466213617,0.100659356,-3.723945754710326,0.11352935,1.031078
2035201245695632384,298.0547235288718,0.11022479,34.04315875445413,0.13547203,0.1663143073213202,0.15495633,1.073298,3.6092775,-3.4475590900896442,0.15794383,-1.0682790853644821,0.19405542,1.1203959
2035201245695639296,298.06065090743186,0.12724182,34.04610105856701,0.15393816,0.08463729175523269,0.17767186,0.47636858,9.052696,-3.93150260950407,0.18034211,-8.154421419111594,0.20260635,1.0126971
2035201245695644160,298.05857595534405,0.042578764,34.04742853879618,0.050140254,0.46117217702321966,0.05751155,8.018775,11.024394,-2.171363167721614,0.059229586,-10.808443691069495,0.064882845,1.0578163
2035201245707980288,298.0533755107081,0.2102341,34.03416947289454,0.3002585,1.1055768233709184,0.30368176,3.6405768,6.549121,-2.3508637925263924,0.2876204,-6.112644631717989,0.38950345,0.9855415
2035201250024502784,298.06090238776574,0.26996747,34.02970115063063,0.34860778,0.3632574945813537,0.39272657,0.9249629,4.9973526,-1.7062707127428105,0.38386258,-4.6970389775594,0.4620836,1.0578287
2035201250024549888,298.06664246869747,0.25661087,34.03618679350229,0.32577384,0.30182361009371633,0.36908805,0.81775504,5.5335207,-2.9988038590408994,0.351749,-4.650486850515377,0.41583145,1.0672804
2035201250024553472,298.054412142578,0.12418049,34.03704975695034,0.1640696,0.32370361549939675,0.17799297,1.8186314,9.326377,-3.9793851488228036,0.16900647,-8.434797455411738,0.2073581,0.982732
2035201250024555008,298.0610964195685,0.09639979,34.03726511920983,0.11561504,1.573017097853835,0.13548979,11.609858,9.939192,-8.85195218535882,0.14028518,-4.520008050214064,0.16295175,1.0668709
2035201250024562688,298.0548887035704,0.48366803,34.0385149102391,0.691072,1.0558045981192992,0.7354211,1.4356462,5.0145,-1.7926423841730497,0.63776875,-4.683123275289642,0.81318116,0.9511851
2035201250024568448,298.06024850734667,0.35515246,34.039198176349906,0.4488867,0.2258066279115296,0.5364015,0.42096567,7.3153944,-3.7625697927797077,0.51809627,-6.2736002718337485,0.6993241,1.0068395
2035201250024580096,298.06626546144673,1.0833664,34.041163700669685,1.2090064,5.209864925695066,1.6452079,3.166691,6.151354,-2.2759055797517096,1.5231441,-5.714841242219379,1.4326077,1.4341114
2035201250024586112,298.0610693051425,0.34418663,34.04209249760861,0.41950414,0.37018112894982536,0.51643395,0.7168025,8.479336,-3.3506395104463604,0.50584257,-7.789245654554343,0.61469966,1.0260327
2035201250025320192,298.05861427826005,0.2881152,34.04265224560748,0.35265148,0.7530583967968336,0.42878932,1.7562433,4.982888,-3.0561652147843192,0.4346849,-3.9356102460735936,0.48644847,1.0026226
2035201250026075520,298.06662629926996,0.26037276,34.03479682977816,0.32393396,0.11432791564005501,0.3760865,0.30399367,5.5291686,-3.62890607342148,0.37759197,-4.171660001696243,0.45068,1.0479476
2035201250026078720,298.06332877060737,0.16305831,34.03805168883052,0.20899725,0.6740966523345354,0.2451187,2.7500825,5.0160117,-1.684497044720593,0.23673917,-4.724705421842546,0.2946128,0.9989558
2035201250026083712,298.06062962773456,0.15251242,34.03458688706628,0.19399208,0.4230467508933845,0.22743161,1.8601054,6.2519383,-2.824302595065437,0.21392937,-5.577638117954416,0.2566295,1.0125837
2035201250026092416,298.0535058735182,0.6174452,34.03991606013664,0.8444627,0.706285722331365,1.0123852,0.69764525,3.6973174,-3.1616872285978026,0.952874,-1.916739396397839,1.4650533,0.93399227
2035201250026094336,298.0535987984894,0.20875004,34.036313310687056,0.27187097,0.4533863436058056,0.29848725,1.5189471,4.9952803,-2.5414329085318523,0.28736037,-4.300458532575704,0.3456975,1.0401545
2035201250026095232,298.0533933041609,0.21064982,34.03495863289805,0.30009568,0.980059546483738,0.3048311,3.2150905,2.1019857,1.2161830533334401,0.29886106,-1.7144220505665566,0.40545315,1.0066475
2035201250026548992,298.06094645537723,0.94975626,34.0305201328682,1.1617419,1.1415787369319994,1.3650558,0.8362872,5.634403,-1.9444626794877509,1.9121109,-5.288247705650643,2.7535648,0.9474177
2035201250033448064,298.05637758219774,0.044740923,34.03458170314587,0.055293497,0.011639089024933592,0.060586274,0.19210768,4.2331877,-2.1041908791500386,0.062476173,-3.6731807930778078,0.071911834,1.0116565
2035201250033452416,298.0588944713978,0.042393714,34.03731662686193,0.050503734,0.007651535206508306,0.05893956,0.12982002,4.128259,-2.0863962380174517,0.061180763,-3.562228648744399,0.07004452,0.98013747
2035201250033453440,298.05716240293293,0.2738343,34.03794178197014,0.32999846,0.3469584471787031,0.3906653,0.88812196,6.255349,-2.5034163811292913,0.38604987,-5.732564803487668,0.45458218,1.0743855
2035201250033458944,298.0600143544422,0.41049278,34.04344922049899,0.68040806,0.7251246635187589,0.5657193,1.2817746,4.3821025,-2.7219731703168835,0.6149272,-3.4341932680382636,1.0901406,0.88697964
2035201250033460480,298.0576415728423,0.026226986,34.04431599566175,0.030903742,0.38240963021435553,0.036353342,10.519242,3.997488,-0.8767203797850379,0.03657364,-3.9001631033210495,0.03919114,1.0081981
2035201280053828736,298.0716504882681,0.12089782,34.04028248152085,0.14709982,0.6405137226028694,0.1670077,3.8352346,5.3448033,-0.27276045885780853,0.16649774,-5.337838984826833,0.19053128,0.9820213
2035201280053832320,298.0703565251168,0.11181153,34.05500780763563,0.13381056,0.453125112389937,0.14881946,3.0447974,3.0876195,-0.6504669319962282,0.15698248,-3.018325282989003,0.17230538,0.9844289
2035201280055367552,298.0660476607843,0.100028686,34.04209335024671,0.11688522,1.0490006840910204,0.13584541,7.722018,4.499398,-1.8229523739225588,0.13869356,-4.11356640421599,0.15440713,1.213326
2035201280055378560,298.0758989107707,0.10387831,34.046117794804736,0.1209701,0.14727971907462423,0.13527438,1.0887481,3.9883332,-2.1622157776577193,0.13995595,-3.351361719652798,0.15553045,1.0201639
2035201280055379584,298.0724781001122,0.10345011,34.04627607807731,0.122392505,0.25706998034180395,0.13680911,1.8790413,7.182694,-3.6274299116376074,0.14288029,-6.199423026038707,0.16168566,0.98982745
2035201280055398784,298.0689864710913,0.058590166,34.054660334806215,0.06832364,0.162081782254412,0.077952966,2.0792253,4.5903416,-1.9803764600044145,0.08241416,-4.141176841823109,0.08954624,1.0020537
2035201280055404160,298.072132497645,0.061125044,34.05681368208816,0.072474666,0.39248031039416104,0.08172907,4.8022118,6.9717803,-6.616092312913625,0.085741885,-2.198418226113504,0.09244344,0.98738295
2035201284384312064,298.07266647235434,0.37230647,34.04024430134316,0.4387114,0.2679710454479298,0.52876496,0.50678664,6.5935507,-2.5211986826136252,0.5912652,-6.0924929433925215,0.63346624,0.98375094
