objid,raMean,decMean,raMeanErr,decMeanErr,gPSFMag,gPSFMagErr,gKronMag,gKronMagErr,rPSFMag,rPSFMagErr,rKronMag,rKronMagErr,iPSFMag,iPSFMagErr,iKronMag,iKronMagErr,zPSFMag,zPSFMagErr,zKronMag,zKronMagErr,yPSFMag,yPSFMagErr,yKronMag,yKronMagErr,objInfoFlag,qualityFlag,nDetections,nStackDetections,ginfoFlag,ginfoFlag2,ginfoFlag3,rinfoFlag,rinfoFlag2,rinfoFlag3,iinfoFlag,iinfoFlag2,iinfoFlag3,zinfoFlag,zinfoFlag2,zinfoFlag3,yinfoFlag,yinfoFlag2,yinfoFlag3,pmra,pmdec
169703241174130455,324.11737371977,51.4164655099183,0.00375824678480637,0.00375826918829955,21.4242000579834,0.039852000772953,21.7824001312256,0.0713919997215271,19.9360008239746,0.0115320002660155,20.1025009155273,0.0167190004140139,18.8911991119385,0.00856699980795383,19.1597003936768,0.0130310002714396,18.6112995147705,0.0145859997719526,18.6854000091553,0.0214869994670153,18.1977005004883,0.0147909997031093,18.3719005584717,0.0235190000385046,436527104,52,43,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-1.18686946089894,-3.39262713072069
169703241166032203,324.116599111279,51.4179133410198,0.00204303912278208,0.00198710902673134,20.6410999298096,0.0182900000363588,20.8526000976563,0.0273059997707605,19.2716999053955,0.00683300010859966,19.3605995178223,0.00906999967992306,18.243200302124,0.00502400007098913,18.5182991027832,0.00685299979522824,17.9911994934082,0.00870500039309263,18.0590000152588,0.0127879995852709,17.5296001434326,0.00858999975025654,17.7042999267578,0.0144039997830987,503635968,60,49,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,3.14110666416435,-3.66364112352807
169703241138399343,324.113859406855,51.4238741471245,0.0318449783144983,0.0318449783144983,-999,0.560594975948334,-999,-999,23.0389003753662,0.166320994496346,-999,-999,21.4328002929688,0.055332999676466,21.75119972229,0.103228002786636,20.9580001831055,0.087238997220993,21.4932994842529,0.191991999745369,20.5706005096436,0.106806002557278,-999,-999,436527104,52,7,4,35651585,4,196608,35667969,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,8.7288436814418,9.41268688853643
169703241138290422,324.113839810486,51.4164407917138,0.000839563279180196,0.000848795192598935,18.5948009490967,0.00482599996030331,18.7028999328613,0.00486300000920892,17.5643997192383,0.00220600003376603,17.6196002960205,0.00233999988995492,16.7183990478516,0.0022960000205785,17.0121994018555,0.0027409999165684,16.6580009460449,0.00337899988517165,16.6910991668701,0.00416400004178286,16.3066005706787,0.00357699999585748,16.42919921875,0.00568500021472573,503635968,60,49,5,102760453,128,196608,102760453,128,196608,102760453,128,196608,102760453,128,196608,102760453,128,196608,-2.95900930290855,-0.971631730204341
169703241122889201,324.112316983074,51.4237844352228,0.0239483390207843,0.0239483390207843,-999,0.379054009914398,-999,-999,23.2024002075195,0.190881997346878,-999,-999,21.3798007965088,0.0532680004835129,21.7670993804932,0.106274999678135,20.7700004577637,0.0720869973301888,21.0914001464844,0.126919001340866,20.4666004180908,0.0985089987516403,-999,-999,436527104,52,10,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35653633,0,196608,-26.1625961040752,-46.7149422087296
169703241100781119,324.109982076682,51.4170675967867,0.0125717711548319,0.0125717711548319,23.7443008422852,0.287144988775253,-999,-999,21.7042999267578,0.0533210001885891,22.1471996307373,0.110780999064446,20.2733993530273,0.0293600000441074,20.5785999298096,0.052046999335289,19.9916000366211,0.0478920005261898,20.2070999145508,0.0749540030956268,19.3150005340576,0.0479129999876022,19.4932994842529,0.0710719972848892,436527104,52,35,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-3.61631829140712,-17.4086243564555
169703241080164673,324.108155102694,51.419966955636,0.00955998999094405,0.00955998999094405,23.0412006378174,0.148390993475914,-999,-999,21.2712993621826,0.0322990007698536,21.6455993652344,0.064749002456665,20.2493000030518,0.024337999522686,20.4897003173828,0.0399440005421638,19.9424991607666,0.041483998298645,20.2982997894287,0.0760909989476204,19.4680995941162,0.0530179999768734,19.7541007995605,0.0891729965806007,436527104,52,35,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-7.94833476811112,-2.78611278098642
169703241055682918,324.105656483202,51.4185301869478,0.0100827179018885,0.0100827179018885,-999,1.38734996318817,-999,-999,22.2035007476807,0.0809110030531883,-999,-999,20.6566009521484,0.0289980005472898,20.6152992248535,0.0456710010766983,19.9918003082275,0.0344390012323856,20.2936992645264,0.0608280003070831,19.320499420166,0.0482929982244968,19.19580078125,0.0660229995846748,436527104,52,35,3,35651585,4,196608,35651585,4,196608,35667969,0,196608,35667969,0,196608,35667969,0,196608,-157.133360094779,-102.457776234942
169703241050621476,324.105050173247,51.4173473931026,0.0178467790706431,0.0178467790706431,-999,2.03962993621826,-999,-999,22.6530990600586,0.103965997695923,-999,-999,21.0893993377686,0.0484520010650158,21.067699432373,0.0759660005569458,20.5421009063721,0.0679280012845993,20.4568996429443,0.0859680026769638,20.2301998138428,0.0952740013599396,-999,-999,436527104,52,18,4,35651585,4,196608,35651585,0,196608,35651585,0,196608,35667969,0,196608,35653633,0,196608,-21.7456079064934,-18.1577208473745
169703241043837705,324.104381309745,51.42250596066,0.00319291116012454,0.00321120631852973,21.9438991546631,0.0633359998464584,-999,-999,20.3887996673584,0.0152660002931952,20.6252994537354,0.0248750001192093,19.3777008056641,0.00931499991565943,19.4395008087158,0.0145870000123978,18.7488994598389,0.0105060003697872,18.9286994934082,0.0157590005546808,18.2600994110107,0.0148550001904368,18.5233993530273,0.0233500003814697,436527104,52,52,5,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,-1.75935193597028,-6.49658782961419
169703241037366036,324.103708988731,51.4210961692492,0.0238807980930464,0.0238807980930464,25.3665008544922,1.26923000812531,-999,-999,22.9815998077393,0.155222997069359,-999,-999,21.3866996765137,0.0606850013136864,21.5976009368896,0.100233003497124,21.0375995635986,0.0769049972295761,-999,-999,22.2262001037598,0.512036979198456,-999,-999,436527104,52,10,3,35651585,4,196608,35651585,0,196608,35651585,0,196608,35651585,0,196608,35651585,4,196608,-84.9377762588679,-39.4939216594868
